Date,station,river_hight,rainfall
5/4/2024,Rathnapura,0.82,0.6
5/4/2024,Magura,1.38,0
5/4/2024,Kalawellawa,2.04,0
4/28/2024,Putupaula,1.33,6.5
4/28/2024,Ellagawa,7.3,76.8
4/28/2024,Rathnapura,4.2,59.3
4/28/2024,Magura,4.03,19
4/28/2024,Kalawellawa,5,96.4
4/22/2024,Putupaula,0.43,16.2
4/22/2024,Ellagawa,4.88,5.8
4/22/2024,Rathnapura,1.09,4.2
4/22/2024,Magura,1.16,0
4/22/2024,Kalawellawa,2,1.8
4/13/2024,Putupaula,0.55,23.1
4/13/2024,Ellagawa,4.35,1.6
4/13/2024,Rathnapura,0.75,8.3
4/13/2024,Magura,1.29,0
4/13/2024,Kalawellawa,2.65,29.7
3/13/2024,Putupaula,0.3,0
3/13/2024,Ellagawa,3.86,0
3/13/2024,Rathnapura,0.51,0
3/13/2024,Magura,0.52,0
3/13/2024,Kalawellawa,1.37,0
3/12/2024,Putupaula,0.14,0
3/12/2024,Ellagawa,3.88,0
3/12/2024,Rathnapura,0.45,0
3/12/2024,Magura,0.55,0
3/12/2024,Kalawellawa,1.31,0
2/14/2024,Putupaula,0.43,0
2/14/2024,Ellagawa,4.15,0
2/14/2024,Rathnapura,0.73,4.6
2/14/2024,Magura,0.86,0
2/14/2024,Kalawellawa,1.7,0
2/7/2024,Putupaula,0.48,0
2/7/2024,Ellagawa,4.7,0
2/7/2024,Rathnapura,1.18,0
2/7/2024,Magura,1.47,0
2/7/2024,Kalawellawa,2.05,0
2/6/2024,Putupaula,0.85,11.7
2/6/2024,Ellagawa,5.63,2.8
2/6/2024,Rathnapura,2.24,15
2/6/2024,Magura,2.74,14.7
2/6/2024,Kalawellawa,3.44,0
2/5/2024,Putupaula,0.69,17
2/5/2024,Ellagawa,5.77,36.7
2/5/2024,Rathnapura,2.05,8.2
2/5/2024,Magura,1.35,0.7
2/5/2024,Kalawellawa,3.34,42.3
1/27/2024,Putupaula,0.25,0
1/27/2024,Ellagawa,4.17,0
1/27/2024,Rathnapura,0.72,0
1/27/2024,Magura,0.9,0
1/27/2024,Kalawellawa,1.65,0
1/24/2024,Putupaula,0.25,0
1/24/2024,Ellagawa,4.36,0
1/24/2024,Rathnapura,0.91,0
1/24/2024,Magura,1.1,0
1/24/2024,Kalawellawa,1.75,0
1/22/2024,Putupaula,0.45,0
1/22/2024,Ellagawa,4.78,0
1/22/2024,Rathnapura,1.25,0
1/22/2024,Magura,1.27,0
1/22/2024,Kalawellawa,1.96,0
1/20/2024,Putupaula,0.73,21
1/20/2024,Ellagawa,5.2,6.2
1/20/2024,Rathnapura,1.29,32.8
1/20/2024,Magura,2.9,8.5
1/20/2024,Kalawellawa,2.95,42.7
1/19/2024,Putupaula,0.52,1.1
1/19/2024,Ellagawa,4.42,0.4
1/19/2024,Rathnapura,1.37,5.1
1/19/2024,Magura,1.04,1.3
1/19/2024,Kalawellawa,1.76,1
1/18/2024,Putupaula,0.52,0
1/18/2024,Ellagawa,4.3,0
1/18/2024,Rathnapura,0.83,0
1/18/2024,Magura,0.95,0
1/18/2024,Kalawellawa,1.63,0
1/17/2024,Putupaula,0.53,0
1/17/2024,Ellagawa,4.34,0
1/17/2024,Rathnapura,0.87,0
